Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
d2061cc7-bee0-0e6c-3ac4-15c197c474e0,1956-06-22,,999-51-6528,S99944910,X29408602X,Mr.,Lucio648,Simonis280,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,636 Wiegand Loaf,Cambridge,Massachusetts,Middlesex County,02140,42.35992586937376,-71.11326024935221,1475230.0,4244.639999999999
073d8e80-ff90-1c8d-57e4-29bfca52c87f,1964-08-28,,999-90-4728,S99976204,X17497441X,Mrs.,Buffy238,Wolf938,,Williamson769,M,white,nonhispanic,F,Somerville  Massachusetts  US,972 Satterfield Trafficway Apt 71,North Brookfield,Massachusetts,Worcester County,01535,42.25784546955933,-72.02631680460482,1489125.0,4016.3599999999997
e1ff7e68-4097-9faf-514d-e4cfcfdf252e,1998-08-28,,999-82-3645,S99973929,X88553898X,Ms.,Debora709,Klocko335,,,,white,nonhispanic,F,Williamstown  Massachusetts  US,589 Koss Station,Worcester,Massachusetts,Worcester County,01545,42.204289674137854,-71.8184488503781,57142.44,2103.2
a0f679cc-875f-dd72-ed13-9ca863ec6cf3,2004-01-20,,999-93-6431,S99923001,,,Walton167,Kessler503,,,,asian,nonhispanic,M,New Braintree  Massachusetts  US,777 Gusikowski Drive,Weymouth,Massachusetts,Norfolk County,,42.15026973562508,-70.90408406035422,408520.0,2709.0
e4166a9c-f7c5-bef7-ea43-b96281a2d586,2006-03-23,,999-11-8697,,,,Mariano761,Wiegand701,,,,black,hispanic,M,Canton  Massachusetts  US,156 Herman Knoll,Worcester,Massachusetts,Worcester County,01609,42.2920819230455,-71.78487317237207,320400.0,2970.68
ee537126-7509-05de-2349-ab19604545d8,1991-05-21,,999-24-5971,S99944845,X45272579X,Mrs.,Britta584,Ziemann98,,Mayert710,M,white,nonhispanic,F,West Springfield  Massachusetts  US,1027 Bernhard Path Apt 64,Boston,Massachusetts,Suffolk County,02134,42.347570821295285,-71.04135024287056,784465.0,2738.96
826d5ce3-2b23-8bd8-b352-a77fdd083d68,1964-07-20,,999-76-1116,S99924936,X74558723X,Mr.,Arron144,Botsford977,,,M,white,nonhispanic,M,Shrewsbury  Massachusetts  US,453 Marks Track,Woburn,Massachusetts,Middlesex County,01890,42.52234296982323,-71.14747985490884,1425900.0,3841.3599999999997
0edfef0f-fa74-ab35-1122-4c537bb9765d,1997-05-05,,999-83-8008,S99986834,X2205045X,Mr.,Edgardo196,Morar593,,,,white,nonhispanic,M,Hudson  Massachusetts  US,559 Stoltenberg Vista Suite 50,West Bridgewater,Massachusetts,Plymouth County,,42.00384862981888,-71.00357653769244,512475.0,2470.64
0fe7e161-0f29-2b70-8e3d-757b15026295,2008-12-26,,999-82-3973,,,,Fred155,Leuschke194,,,,white,nonhispanic,M,Boston  Massachusetts  US,526 Koelpin Gardens,Shirley,Massachusetts,Middlesex County,,42.58537262421069,-71.68411643063111,302400.0,2583.2
478e120c-67a4-4375-646f-c41e74f72478,1971-01-02,,999-21-9684,S99983235,X36753580X,Mr.,Frances376,Zulauf375,,,S,white,nonhispanic,M,New Bedford  Massachusetts  US,1064 Sporer Overpass,Norton,Massachusetts,Bristol County,,41.96958788099574,-71.19387487133108,1202145.0,2892.24
