Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
1282b935-72ec-36af-84bd-42b1113c5ef4,ef58ea08-d883-3957-8300-150554edc8fb,Reginald96 Bruen238,M,GENERAL PRACTICE,60 HOSPITAL ROAD,LEOMINSTER,MA,01453,42.520838,-71.770876,1
ae4db11b-cf9f-312a-8cb2-024e1cba27aa,69176529-fd1f-3b3f-abce-a0a3626769eb,Janette321 Fisher429,F,GENERAL PRACTICE,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,62
d5f2956b-da17-3bd2-909c-45adc4fc82b6,5e765f2b-e908-3888-9fc7-df2cb87beb58,Chauncey770 Steuber698,M,GENERAL PRACTICE,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,3
7a6d6b61-a44a-3fbc-9bd0-2e4f9d6ec976,f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,Whitney250 Wyman904,M,GENERAL PRACTICE,ONE GENERAL STREET,LAWRENCE,MA,01842,42.700273,-71.161357,4
a93365a0-49cf-3a14-9a26-51dcd817f170,e002090d-4e92-300e-b41e-7d1f21dee4c6,Wilfredo622 Medhurst46,M,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,136
e6c83b0a-cdbb-3eb8-8ad8-fb3a47db102a,ef6ab57c-ed94-3dbe-9861-812d515918b3,Terrell212 Fadel536,F,GENERAL PRACTICE,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,2
9d77ccda-c3bb-3751-8400-01ae85ffd2a1,49318f80-bd8b-3fc7-a096-ac43088b0c12,Almeta56 Carter549,F,GENERAL PRACTICE,30 LOCUST STREET,NORTHAMPTON,MA,01060,42.327044,-72.67463000000002,1
8e5ded05-1608-3e8f-b59b-57c952c725cb,8b58cdd1-3d79-3126-8fe0-da2c54d6805c,Margaret865 Herzog843,F,GENERAL PRACTICE,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,1
287e02d0-3378-3628-866c-826e50af4f85,4bdaa4c2-c664-3089-aee2-7137abbad27f,Delta800 Quigley282,F,GENERAL PRACTICE,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,-72.03404,1
2a47af39-f392-3d68-aaef-c99bcdaed0ba,ecc51621-0af3-3b35-ac3e-8b1e34022e92,Carl856 Halvorson124,M,GENERAL PRACTICE,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,22
