Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
6c9b1cca-a9a5-c846-db94-c68714112d82,1962-05-16,,999-71-9271,S99910971,X20717089X,Mrs.,Tomika243,Kozey370,,McCullough561,M,black,nonhispanic,F,Gardner  Massachusetts  US,419 Wiza Terrace Suite 20,Norwood,Massachusetts,Norfolk County,,42.19367525366419,-71.18417770210037,1410720.51,3923.8399999999997
cf944a36-f0c3-8ad3-2173-de63c9ff1815,1996-04-18,,999-78-5541,S99998192,X12474026X,Ms.,Ruby458,Dickens475,,,,white,nonhispanic,F,Boston  Massachusetts  US,891 Stehr Ferry Apt 0,Brockton,Massachusetts,Plymouth County,02302,42.095985566212725,-71.07973668173884,595170.0,2575.64
acf4f954-ef61-671e-93f1-eb9736a97ff8,1977-05-01,,999-90-3369,S99963995,X23910787X,Mr.,Fernando603,Witting912,,,M,white,nonhispanic,M,Barnstable  Massachusetts  US,522 Terry Viaduct,Brookline,Massachusetts,Norfolk County,02467,42.29417535901857,-71.11231742056921,90232.44,2167.3199999999997
411f5ca2-9a09-bae0-6a59-26c79fe02678,1970-02-02,,999-77-1917,S99985894,X36859841X,Mrs.,Golden321,Brekke496,,Roberts511,M,white,nonhispanic,F,Boston  Massachusetts  US,167 Gutmann Arcade,Newburyport,Massachusetts,Essex County,01950,42.74880742754922,-70.87558966115631,1102447.34,2790.6899999999996
7aa13faf-0172-3475-982d-7287d7d4c9d1,2005-03-19,,999-90-7396,,,,Ira784,Dibbert990,,,,white,nonhispanic,M,Franklin  Massachusetts  US,456 Torphy Club,Chelmsford,Massachusetts,Middlesex County,,42.62919478001685,-71.34920326598684,399300.0,2799.8399999999997
dbab7eef-0c19-97bf-0b0d-581b8adda19a,1998-07-25,,999-58-4259,S99964688,X46660874X,Ms.,Claudia969,Sevilla788,,,,white,hispanic,F,Carolina  Puerto Rico  PR,230 Blanda Ville,Springfield,Massachusetts,Hampden County,01129,42.07261642151095,-72.55832971494192,14530.68,714.96
faf597b0-a6f6-524c-adba-f3574572697f,2005-07-27,,999-13-2782,,,,Kisha966,Larson43,,,,black,nonhispanic,F,Dedham  Massachusetts  US,490 Emard Flat,Boston,Massachusetts,Suffolk County,02136,42.30485744975724,-71.0449955828038,351710.0,2889.8399999999997
e3e77088-1d61-b120-33eb-d041332bb2a5,1994-01-08,,999-78-1921,S99948675,X86175608X,Mr.,Edwin773,Herzog843,,,,white,nonhispanic,M,Walpole  Massachusetts  US,772 Douglas Harbor,Worcester,Massachusetts,Worcester County,01602,42.26787699551482,-71.74140217704675,552400.0,2274.7999999999997
437c13d4-9590-344e-4440-5c7689f8c6d8,2002-11-07,,999-50-4049,S99973973,,Ms.,Judie557,Becker968,,,,white,nonhispanic,F,Southbridge  Massachusetts  US,703 Stehr Well Suite 44,Somerset,Massachusetts,Bristol County,,41.677382226397114,-71.14757558894682,371480.0,2478.16
240632ba-0c17-b8cb-6239-bc5baa25d140,1975-01-13,,999-55-8137,S99985115,X43915873X,Mr.,Randolph418,Gutmann970,,,M,white,hispanic,M,Hanson  Massachusetts  US,647 Fay Camp Suite 62,Pepperell,Massachusetts,Middlesex County,,42.699673051553994,-71.59620672611884,940880.0,2298.92
8aa32937-7e37-1b78-d94d-0acfa1d2646c,1977-02-08,,999-43-4016,S99947463,X86218479X,Mr.,Ben667,Keeling57,,,S,white,nonhispanic,M,Gloucester  Massachusetts  US,366 Yost Crossroad,Beverly,Massachusetts,Essex County,,42.582951071729326,-70.84171692120469,1056015.0,2634.7599999999998
d8341e58-fbac-5229-7c5a-5241afe92dfd,2015-08-12,,999-13-9158,,,,Jess275,Nienow652,,,,white,nonhispanic,M,Fall River  Massachusetts  US,1069 Will Bridge,Lowell,Massachusetts,Middlesex County,01850,42.68094129569848,-71.35561625056137,123500.0,1808.24
f6a1059c-357a-4347-a0e5-d5531d2e23f8,1985-10-12,,999-61-7232,S99956084,X89338676X,Mrs.,Maxie520,Sawayn19,,Lesch175,M,white,hispanic,F,Weymouth  Massachusetts  US,875 Cartwright Rest,Boston,Massachusetts,Suffolk County,02128,42.31893004411757,-71.07495405386125,107430.0,2582.2799999999997
442875c1-7119-9d96-e6cc-3a31adaf31ff,1975-04-06,,999-10-9120,S99928785,X59618235X,Mrs.,Candis134,Dibbert990,,King743,M,black,nonhispanic,F,Boston  Massachusetts  US,580 Nader Lane,Scituate,Massachusetts,Plymouth County,,42.239044218478035,-70.76693549888823,990525.0,2453.9199999999996
3264deaf-c71f-d06b-382e-035cd62c6b22,2006-07-08,,999-52-9163,,,,Bryon392,Walsh511,,,,white,nonhispanic,M,Newton  Massachusetts  US,391 Johnson Estate,Northborough,Massachusetts,Worcester County,01532,42.36702265379449,-71.63657685801986,313200.0,2970.68
e6273630-0265-720a-8b9b-a0e6f9101727,1941-09-28,,999-30-5716,S99913161,X3050742X,Mr.,Raúl937,Espinal146,,,M,white,hispanic,M,Santiago de los Caballeros  Santiago  DO,646 Mraz Port,Worcester,Massachusetts,Worcester County,01545,42.29186063907393,-71.86942612960547,1528530.0,5002.88
